lbr_brand_nm,snpsht_day,mth_nm,snpsht_yr,sku_cd,catg,subcatg,glance_view
Kellogg's,1,APRIL,2024,B08D3MHTC6,Grocery-Cereal & Muesli,Flakes,5617.06
Kellogg's,1,APRIL,2024,B08D3RRXNW,Grocery-Cereal & Muesli,Flakes,1942.22
Kellogg's,1,APRIL,2024,B01MDV27KU,Grocery-Cereal & Muesli,Flakes,18720.28
Kellogg's,1,APRIL,2024,B09871M4B3,Grocery-Cereal & Muesli,Flakes,517.99
Kellogg's,1,APRIL,2024,B0B5D77BV6,Grocery-Cereal & Muesli,Flakes,161.16
Kellogg's,1,APRIL,2024,B08D3SNL9W,Grocery-Cereal & Muesli,Flakes,4641.94
Kellogg's,1,APRIL,2024,B0B5DB1BWV,Grocery-Cereal & Muesli,Flakes,57.43
Kellogg's,1,APRIL,2024,B00FB6MJI4,Grocery-Cereal & Muesli,Flakes,55.22
Kellogg's,1,APRIL,2024,B09BJSSSL3,Grocery-Cereal & Muesli,Muesli,47.96
Kellogg's,1,APRIL,2024,B0BSLN3Z1P,Grocery-Cereal & Muesli,Muesli,40.25
Kellogg's,1,APRIL,2024,B06XXDYDHJ,Grocery-Cereal & Muesli,Flakes,255.04
Kellogg's,1,APRIL,2024,B0CW1J3L6Z,Grocery-Cereal & Muesli,Flakes,47.05
Kellogg's,1,APRIL,2024,B01LWAYNWX,Grocery-Cereal & Muesli,Flakes,178.08
Kellogg's,1,APRIL,2024,B0B15JX8MR,Grocery-Cereal & Muesli,Flakes,96.43
Kellogg's,1,APRIL,2024,B07C75TNDZ,Grocery-Cereal & Muesli,Flakes,7748.05
Kellogg's,1,APRIL,2024,B0CKYXBQ6H,Grocery-Cereal & Muesli,Flakes,236.73
Kellogg's,1,APRIL,2024,B075YXFCKZ,Grocery-Cereal & Muesli,Muesli,37.14
Kellogg's,1,APRIL,2024,B0C9CQ13VD,Grocery-Cereal & Muesli,Flakes,579.07
Kellogg's,1,APRIL,2024,B09BJCNP7R,Grocery-Cereal & Muesli,Flakes,15084.25
Kellogg's,1,APRIL,2024,B08WRMGNG9,Grocery-Cereal & Muesli,Flakes,24250.76
Kellogg's,1,APRIL,2024,B07QC1ZCJF,Grocery-Cereal & Muesli,Flakes,131.85
Kellogg's,1,APRIL,2024,B096JZNHKW,Grocery-Cereal & Muesli,Flakes,16785.83
Kellogg's,1,APRIL,2024,B0BSLHGSB7,Grocery-Cereal & Muesli,Flakes,40.33
Kellogg's,1,APRIL,2024,B08LNXYB42,"Grocery-Rice, Flour & Pulses",Flakes,274.2
Kellogg's,1,APRIL,2024,B0BSLKHL3W,Grocery-Cereal & Muesli,Muesli,38.01
Kellogg's,1,APRIL,2024,B00UBI5DMQ,Grocery-Cereal & Muesli,Flakes,37.26
Kellogg's,1,APRIL,2024,B0CW1KX5WW,Grocery-Cereal & Muesli,Flakes,45.76
Kellogg's,1,APRIL,2024,B0B5D77BV6,Grocery-Cereal & Muesli,Flakes,38.64
Kellogg's,1,APRIL,2024,B0077PPD9E,Grocery-Cereal & Muesli,Flakes,875.9
Kellogg's,1,APRIL,2024,B08D3QKHPP,Grocery-Cereal & Muesli,Flakes,76.71
Kellogg's,1,APRIL,2024,B0B15M78TF,Grocery-Cereal & Muesli,Muesli,5004.91
Kellogg's,1,APRIL,2024,B0077PPF2O,Grocery-Cereal & Muesli,Muesli,2740.94
Kellogg's,1,APRIL,2024,B0CW1RZ4CH,Grocery-Cereal & Muesli,Flakes,3490.05
Kellogg's,1,APRIL,2024,B00TIMP376,Grocery-Cereal & Muesli,Granola Cereals,100.01
Kellogg's,1,APRIL,2024,B08HM5QZ3P,Grocery-Cereal & Muesli,Flakes,49.41
Kellogg's,1,APRIL,2024,B0B1PX7MWX,Grocery-Cereal & Muesli,Flakes,54.24
Kellogg's,1,APRIL,2024,B0BTMD6N4Y,Grocery-Cereal & Muesli,Flakes,156.62
Kellogg's,1,APRIL,2024,B0077PPF2O,Grocery-Cereal & Muesli,Flakes,253.1
Kellogg's,1,APRIL,2024,B0BSLKHL3W,Grocery-Cereal & Muesli,Flakes,1533.3
Kellogg's,1,APRIL,2024,B084LM3XYF,Grocery-Cereal & Muesli,Flakes,3909.33
Kellogg's,1,APRIL,2024,B08D3MGK8F,Grocery-Cereal & Muesli,Flakes,43.36
Kellogg's,1,APRIL,2024,B00TZIISRU,Grocery-Cereal & Muesli,Flakes,271.79
Kellogg's,1,APRIL,2024,B08D3MHGK3,Grocery-Cereal & Muesli,Flakes,277.78
Kellogg's,1,APRIL,2024,B01LWJ8K4Y,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B01LWAYNWX,Grocery-Cereal & Muesli,Flakes,44.14
Kellogg's,1,APRIL,2024,B0077PPF2O,Grocery-Cereal & Muesli,Flakes,52.15
Kellogg's,1,APRIL,2024,B0C1NTGFSX,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B0C9CQ13VD,Grocery-Cereal & Muesli,Flakes,38.1
Kellogg's,1,APRIL,2024,B0CW1JMZ48,Grocery-Cereal & Muesli,Flakes,37.14
Kellogg's,1,APRIL,2024,B00UBI5DMQ,Grocery-Cereal & Muesli,Flakes,791.09
Kellogg's,1,APRIL,2024,B08D3RRXNW,Grocery-Cereal & Muesli,Muesli,1404.51
Kellogg's,1,APRIL,2024,B083JMHVPV,Grocery-Cereal & Muesli,Flakes,972.58
Kellogg's,1,APRIL,2024,B09VGF8RXK,Grocery-Cereal & Muesli,Flakes,111.48
Kellogg's,1,APRIL,2024,B075S79RFS,Grocery-Cereal & Muesli,Flakes,2286.02
Kellogg's,1,APRIL,2024,B0077PPE98,Grocery-Cereal & Muesli,Flakes,69.17
Kellogg's,1,APRIL,2024,B08D3MGKBS,Grocery-Cereal & Muesli,Granola Cereals,77.65
Kellogg's,1,APRIL,2024,B00TIMOUDO,Grocery-Cereal & Muesli,Flakes,23889.16
Kellogg's,1,APRIL,2024,B09YHVR3FF,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B07X675VSL,Grocery-Cereal & Muesli,Flakes,351.82
Kellogg's,1,APRIL,2024,B08D3N7NX2,Grocery-Cereal & Muesli,Flakes,696.59
Kellogg's,1,APRIL,2024,B075VXFHV4,Grocery-Cereal & Muesli,Flakes,42.55
Kellogg's,1,APRIL,2024,B08D3QGSWY,Grocery-Cereal & Muesli,Flakes,212.06
Kellogg's,1,APRIL,2024,B0B15HXLHQ,Grocery-Cereal & Muesli,Muesli,38.05
Kellogg's,1,APRIL,2024,B07C75TNDZ,Grocery-Cereal & Muesli,Flakes,261.89
Kellogg's,1,APRIL,2024,B09SD9MJ6L,Grocery-Cereal & Muesli,Flakes,571.51
Kellogg's,1,APRIL,2024,B00TZIHC6I,Grocery-Cereal & Muesli,Flakes,17090.56
Kellogg's,1,APRIL,2024,B0077PPF2O,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B0C1NSLHKH,Grocery-Cereal & Muesli,Flakes,41.71
Kellogg's,1,APRIL,2024,B08D3MHGK3,Grocery-Cereal & Muesli,Flakes,4210.74
Kellogg's,1,APRIL,2024,B07CM9T7HH,Grocery-Cereal & Muesli,Muesli,40.17
Kellogg's,1,APRIL,2024,B09SDB4DDZ,Grocery-Cereal & Muesli,Flakes,4926.29
Kellogg's,1,APRIL,2024,B08D3SHCHL,Grocery-Cereal & Muesli,Flakes,411.1
Kellogg's,1,APRIL,2024,B004AVCNQ4,Grocery-Cereal & Muesli,Flakes,37.13
Kellogg's,1,APRIL,2024,B0156LY7E2,Grocery-Cereal & Muesli,Granola Cereals,44.55
Kellogg's,1,APRIL,2024,B00TIMNSSM,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B07QWY23DF,Grocery-Cereal & Muesli,Flakes,230.1
Kellogg's,1,APRIL,2024,B01D10FPI2,Grocery-Cereal & Muesli,Flakes,20923.96
Kellogg's,1,APRIL,2024,B01EP3RL7C,Grocery-Cereal & Muesli,Flakes,40.65
Kellogg's,1,APRIL,2024,B0B15JX8MR,Grocery-Cereal & Muesli,Muesli,834.87
Kellogg's,1,APRIL,2024,B08D3VCWKV,Grocery-Cereal & Muesli,Muesli,37.14
Kellogg's,1,APRIL,2024,B083JN1V1K,Grocery-Cereal & Muesli,Flakes,226.45
Kellogg's,1,APRIL,2024,B00TZIH8WG,Grocery-Cereal & Muesli,Flakes,537.04
Kellogg's,1,APRIL,2024,B0042VB4NA,Grocery-Cereal & Muesli,Flakes,1542.63
Kellogg's,1,APRIL,2024,B0CW1KV53N,Grocery-Cereal & Muesli,Flakes,6044.69
Kellogg's,1,APRIL,2024,B0CBRT8FPL,Grocery-Cereal & Muesli,Flakes,93.04
Kellogg's,1,APRIL,2024,B00VX293SY,Grocery-Cereal & Muesli,Flakes,571.93
Kellogg's,1,APRIL,2024,B01D10FPI2,Grocery-Cereal & Muesli,Flakes,66.75
Kellogg's,1,APRIL,2024,B00M8DP4M6,Grocery-Cereal & Muesli,Flakes,40.89
Kellogg's,1,APRIL,2024,B075S79RFS,Grocery-Cereal & Muesli,Flakes,37.14
Kellogg's,1,APRIL,2024,B08GCZM3J8,Grocery-Cereal & Muesli,Flakes,233.53
Kellogg's,1,APRIL,2024,B01LW9LP50,Grocery-Cereal & Muesli,Flakes,5062.61
Kellogg's,1,APRIL,2024,B016D45F9C,Grocery-Cereal & Muesli,Muesli,76.92
Kellogg's,1,APRIL,2024,B0042VB4NA,Grocery-Cereal & Muesli,Flakes,1068.7
Kellogg's,1,APRIL,2024,B09BJQX8VJ,Grocery-Cereal & Muesli,Flakes,230.06
Kellogg's,1,APRIL,2024,B0B15JX8MR,Grocery-Cereal & Muesli,Flakes,656.57
Kellogg's,1,APRIL,2024,B08D3VCWKV,Grocery-Cereal & Muesli,Flakes,52.22
Kellogg's,1,APRIL,2024,B0156LWWJE,Grocery-Cereal & Muesli,Flakes,222.12
Kellogg's,1,APRIL,2024,B08N1PMSL3,Grocery-Cereal & Muesli,Muesli,428.71
Kellogg's,1,APRIL,2024,B0CKJ1KVHQ,Grocery-Cereal & Muesli,Muesli,229.59
Kellogg's,1,APRIL,2024,B08D3QP7QP,Grocery-Cereal & Muesli,Flakes,892.21
Kellogg's,1,APRIL,2024,B0077PPEAC,Grocery-Cereal & Muesli,Flakes,871.92
Kellogg's,1,APRIL,2024,B07CM9T7HH,Grocery-Cereal & Muesli,Flakes,172.56
Kellogg's,1,APRIL,2024,B0B15JX8MR,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B08D3SKHXD,Grocery-Cereal & Muesli,Granola Cereals,1019.35
Kellogg's,1,APRIL,2024,B09VGCB4KW,Grocery-Cereal & Muesli,Flakes,1593.15
